drill_diameter_mm,burden_m,spacing_m,bench_height_m,num_holes,stemming_m,charge_per_delay_kg,specific_drilling_m_per_m3,powder_factor,compressive_strength_kgf_cm2,fragmentation_pct
114.3,2.46,3.03,11.41,54,1.68,45.0,0.377,5.83,516.0,63.83
114.3,3.04,3.91,8.78,63,2.1,45.0,0.334,5.55,510.9,59.6
114.3,2.63,3.56,10.06,25,1.7,56.9,0.313,12.38,487.0,25.0
114.3,4.02,5.22,11.8,21,2.59,133.9,0.232,2.68,495.1,54.5
114.3,3.51,4.76,10.96,21,2.19,114.2,0.213,1.82,497.4,61.42
114.3,3.59,4.4,11.17,63,2.58,117.4,0.23,12.59,511.1,25.0
114.3,3.54,4.48,11.92,41,2.64,105.5,0.351,5.25,522.5,57.27
114.3,3.68,4.78,11.9,33,2.14,117.4,0.324,4.27,501.2,62.39
114.3,3.81,4.23,11.44,60,2.58,94.6,0.219,9.0,521.0,39.59
150.0,3.06,4.1,10.2,20,2.13,66.8,0.378,9.28,515.7,45.8
114.3,2.66,3.03,9.46,24,1.85,46.4,0.433,8.19,503.7,57.73
114.3,2.92,3.82,10.14,33,2.02,60.7,0.285,8.31,474.0,37.68
114.3,3.28,4.23,9.25,29,2.12,67.4,0.199,10.02,481.5,32.84
114.3,2.3,2.8,7.27,17,1.62,45.0,0.277,11.11,513.3,30.32
114.3,3.81,4.24,9.61,19,2.78,96.6,0.394,9.2,469.2,52.14
150.0,2.45,3.27,10.5,35,1.69,45.0,0.371,6.17,502.1,46.68
114.3,3.57,4.72,9.18,39,2.57,84.3,0.261,4.81,518.0,45.77
114.3,3.22,3.86,9.73,16,2.45,69.0,0.444,12.92,502.7,36.77
127.0,3.43,4.1,9.78,54,1.82,88.5,0.431,6.81,489.2,61.83
114.3,3.09,3.95,11.9,55,2.33,77.1,0.275,4.88,484.8,58.47
114.3,3.4,4.24,9.5,27,2.4,67.5,0.274,10.34,514.7,32.27
114.3,3.09,4.05,11.9,24,1.83,76.2,0.286,11.17,508.5,38.93
114.3,3.05,3.9,7.0,31,2.27,52.8,0.292,4.85,494.9,51.0
114.3,2.9,3.9,11.89,67,1.88,95.6,0.401,6.21,519.2,62.87
114.3,3.99,5.22,11.82,25,2.63,109.3,0.362,14.11,515.4,25.0
114.3,3.47,4.48,11.26,36,2.22,80.9,0.396,7.43,532.2,51.14
114.3,3.39,4.17,7.18,25,2.39,54.6,0.381,4.25,510.2,65.5
114.3,2.91,3.56,11.43,26,1.79,66.0,0.459,13.92,497.0,27.02
114.3,3.19,3.98,9.93,38,2.4,77.4,0.251,11.85,497.4,34.89
114.3,2.86,3.89,7.0,58,1.91,45.0,0.359,5.58,465.2,55.9
89.0,3.08,3.77,11.82,64,2.0,63.8,0.167,4.99,502.7,49.9
114.3,2.76,3.49,12.02,32,2.04,64.8,0.231,4.58,499.7,58.22
114.3,4.02,4.48,7.33,59,2.63,69.8,0.324,5.85,476.1,52.12
114.3,2.96,3.82,10.25,49,2.24,72.3,0.361,11.28,499.5,41.49
114.3,2.91,4.03,11.94,58,2.2,82.3,0.322,8.18,524.2,52.62
114.3,2.7,3.23,11.72,21,1.55,60.8,0.287,7.61,486.8,43.21
114.3,2.95,4.25,11.17,42,2.27,76.0,0.301,6.93,482.7,54.31
114.3,3.08,3.88,7.0,66,1.73,61.7,0.433,10.81,519.9,36.22
114.3,3.28,3.59,11.02,45,2.54,62.7,0.301,4.4,511.4,60.37
